platform,function,N,burn_N,time,allocations,memory,gc_time
intel 6200u 2c 4t,mh_serial_naive,100000,100000,35.655,2,0.38154296875,0.00
intel 6200u 2c 4t,mh_serial_optimized,100000,100000,22.201,10,0.400556640625,0.00
intel 6200u 2c 4t,mh_threaded_naive,100000,100000,57.767,1599526,27.86,0.00
intel 6200u 2c 4t,mh_threaded_optimized,100000,100000,16.834,83,0.4802734375,0.00
intel 6200u 2c 4t,mh_serial_naive,1000000,100000,191.717,2,3.81,0.00
intel 6200u 2c 4t,mh_serial_optimized,1000000,100000,108.040,10,3.83,0.00
intel 6200u 2c 4t,mh_threaded_naive,1000000,100000,225.813,6999526,127.43,6.62
intel 6200u 2c 4t,mh_threaded_optimized,1000000,100000,47.465,83,3.91,0.00
intel 6200u 2c 4t,mh_serial_naive,10000000,100000,1760.0,2,38.15,0.00
intel 6200u 2c 4t,mh_serial_optimized,10000000,100000,1023.0,10,38.17,0.00
intel 6200u 2c 4t,mh_threaded_naive,10000000,100000,2263.0,60999527,1126.4,13.40
intel 6200u 2c 4t,mh_threaded_optimized,10000000,100000,354.998,84,38.25,0.00
intel 6200u 2c 4t,mh_serial_naive,100000000,100000,17157.0,2,381.47,0.00
intel 6200u 2c 4t,mh_serial_optimized,100000000,100000,9622.0,10,381.49,0.00
intel 6200u 2c 4t,mh_threaded_naive,100000000,100000,20918.0,600999527,11079.68,17.78
intel 6200u 2c 4t,mh_threaded_optimized,100000000,100000,3443.0,83,381.57,0.01
intel 6200u 2c 4t,mh_serial_naive,1000000000,100000,172677.0,2,3819.52,0.00
intel 6200u 2c 4t,mh_serial_optimized,1000000000,100000,97012.0,10,3819.52,0.00
intel 6200u 2c 4t,mh_threaded_naive,1000000000,100000,208435.0,6000999527,110643.2,16.47
intel 6200u 2c 4t,mh_threaded_optimized,1000000000,100000,42031.0,84,3814.4,0.08
intel 6500 4c 4t,mh_serial_naive,100000,100000,33.758,2,0.38154296875,0.00
intel 6500 4c 4t,mh_serial_optimized,100000,100000,20.424,10,0.400556640625,0.00
intel 6500 4c 4t,mh_threaded_naive,100000,100000,45.646,1599525,27.86,0.00
intel 6500 4c 4t,mh_threaded_optimized,100000,100000,13.221,83,0.480693359375,0.00
intel 6500 4c 4t,mh_serial_naive,1000000,100000,184.667,2,3.81,0.00
intel 6500 4c 4t,mh_serial_optimized,1000000,100000,109.194,10,3.83,0.00
intel 6500 4c 4t,mh_threaded_naive,1000000,100000,155.144,6999526,127.43,7.48
intel 6500 4c 4t,mh_threaded_optimized,1000000,100000,37.116,83,3.91,0.00
intel 6500 4c 4t,mh_serial_naive,10000000,100000,1700.0,2,38.15,0.02
intel 6500 4c 4t,mh_serial_optimized,10000000,100000,998.157,10,38.17,0.03
intel 6500 4c 4t,mh_threaded_naive,10000000,100000,1217.0,60999525,1126.4,9.75
intel 6500 4c 4t,mh_threaded_optimized,10000000,100000,275.218,83,38.25,0.00
intel 6500 4c 4t,mh_serial_naive,100000000,100000,16855.0,2,381.47,0.00
intel 6500 4c 4t,mh_serial_optimized,100000000,100000,9910.0,10,381.49,0.00
intel 6500 4c 4t,mh_threaded_naive,100000000,100000,12768.0,600999527,11079.68,13.26
intel 6500 4c 4t,mh_threaded_optimized,100000000,100000,2654.0,83,381.57,0.02
intel 6500 4c 4t,mh_serial_naive,1000000000,100000,168437.0,2,3819.52,0.00
intel 6500 4c 4t,mh_serial_optimized,1000000000,100000,100263.0,10,3819.52,0.00
intel 6500 4c 4t,mh_threaded_naive,1000000000,100000,122639.0,6000999528,110643.2,11.97
intel 6500 4c 4t,mh_threaded_optimized,1000000000,100000,28668.0,84,3819.52,0.00
